Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
2100251,2021,1/31/2022,New Milford,25 PUMPKIN HILL CONDO,"58,450.00","100,000.00",0.5845,Residential,Condo,,SALES RATIO,,POINT (-73.411325008 41.535325005)
210207,2021,1/31/2022,Newington,125 WEBSTER CT,"65,480.00","115,000.00",0.5693,Residential,Condo,,,,POINT (-72.722936986 41.652982995)
210077,2021,1/31/2022,North Branford,1 COLONIAL DR,"149,700.00","428,000.00",0.349766355,Residential,Single Family,07 - Change in Property,,TOTAL RENOVATION PER MLS,POINT (-72.787842002 41.324267006)
210622,2021,1/31/2022,Norwalk,16 HILLSIDE ST UNIT E3,"150,400.00","56,750.00",2.6502,Residential,Condo,03 - Inter Corporation,2-49-12-E3,,POINT (-73.426362981 41.098349989)
21136,2021,1/31/2022,Plainfield,20 CROSS CREEK RD,"87,930.00","235,000.00",0.3741,Residential,Condo,,,,POINT (-71.927975999 41.684099008)
210838,2021,1/31/2022,Waterbury,975 MERIDEN RD #61,"36,360.00","102,100.00",0.3561,Residential,Condo,,,,POINT (-72.987530033 41.553068991)
210840,2021,1/31/2022,Waterbury,109 STONYBROOK RD,"83,270.00","240,000.00",0.3469,Residential,Single Family,,,,POINT (-72.987408998 41.534157992)
210358,2021,1/31/2022,Torrington,77 BELMONT DR,"87,280.00","164,000.00",0.5321,Residential,Single Family,10 - A Will,EXECUTOR DEED/PROBATE SALE,,POINT (-73.083287996 41.806785009)
21042,2021,1/31/2022,North Stonington,34 MYSTIC RD,"167,720.00","329,000.00",0.5097,Residential,Single Family,,,,POINT (-71.896023011 41.443911005)
210204,2021,1/31/2022,Newington,200 HARTFORD AVE,"131,610.00","217,000.00",0.6064,Residential,Single Family,,,,POINT (-72.719345006 41.717192983)
21140,2021,1/31/2022,Plainfield,STERLING HILL RD,"29,410.00","40,000.00",0.7352,Vacant Land,,06 - Portion of Property,,,POINT (-71.848029915 41.693747152)
210834,2021,1/31/2022,Waterbury,19 ALBION ST,"73,290.00","173,000.00",0.4236,Residential,Single Family,,,,POINT (-73.014882027 41.546765003)
210284,2021,1/31/2022,Wallingford,37 LAUREL VIEW,"34,200.00","30,000.00",1.14,Residential,Single Family,25 - Other,CASH SALE,,POINT (-72.81421499 41.480837018)
21140,2021,1/31/2022,Plainville,59 BURNHAM ST,"159,880.00","290,000.00",0.5513,Residential,Two Family,,,,POINT (-72.854160961 41.676454)
21090,2021,1/31/2022,Old Saybrook,106 OLD SEA LANE,"301,400.00","649,000.00",0.4644,Residential,Single Family,,,,POINT (-72.400912984 41.279465985)
2100857,2021,1/31/2022,Stamford,79 HARBOR DRIVE # 305,"263,400.00","445,000.00",0.5919,Residential,Condo,25 - Other,MULTIPLE PARCEL SALE,,POINT (-73.530287013 41.038114992)
210225,2021,1/31/2022,South Windsor,787 KING ST,"155,200.00","233,500.00",0.6646,Residential,Single Family,,,,POINT (-72.622869635 41.808928303)
21020,2021,1/31/2022,Voluntown,1017 EKONK HILL RD,"165,870.00","170,000.00",0.975705882,Residential,Single Family,25 - Other,NOT A VALID SALE,,POINT (-71.846950991 41.639775001)
210449,2021,1/31/2022,New Haven,54 ROSEWOOD AV,"63,560.00","160,000.00",0.3972,Residential,Single Family,,,,POINT (-72.876733007 41.310044006)
210178,2021,1/31/2022,Stonington,62A PROSPECT ST,"58,500.00","330,000.00",0.1772,Residential,Condo,07 - Change in Property,,,POINT (-72.100476145 41.358038681)
210203,2021,1/31/2022,New London,"461 BANK ST UNITS 805,806,807","575,540.00","300,000.00",1.9184,Residential,Condo,25 - Other,MULTIPLE CONDOS,,POINT (-72.100649994 41.350571011)
210357,2021,1/31/2022,Torrington,374 WHITE PINE RD,"171,940.00","336,000.00",0.5117,Residential,Single Family,,,,POINT (-73.073788031 41.863201001)
2100069,2021,1/31/2022,Prospect,35 HIGHLAND DR,"149,870.00","293,000.00",0.5115,Residential,Single Family,,,,POINT (-72.996134978 41.510872017)
210582,2021,1/31/2022,Southington,424 PATTONWOOD DR,"247,210.00","400,000.00",0.618,Residential,Single Family,,,,POINT (-72.861435028 41.640628991)
210065,2021,1/31/2022,Old Lyme,21 CHADWICK DR,"208,400.00","415,000.00",0.5021,Residential,Single Family,,,,POINT (-72.271750035 41.296435986)
2100859,2021,1/31/2022,Stamford,850 EAST MAIN STREET # 313,"299,090.00","460,000.00",0.6501,Residential,Condo,,,,POINT (-73.526858982 41.055995981)
2100434,2021,1/31/2022,Stratford,390 MARINA DRIVE,"121,660.00","230,000.00",0.5289,Residential,Single Family,,,,POINT (-73.150656034 41.211001007)
210068,2021,1/31/2022,Somers,4 BEVERLY DRIVE,"212,600.00","366,075.00",0.5807,Residential,Single Family,,,,POINT (-72.419316961 41.988240011)
210360,2021,1/31/2022,Torrington,116 ROOSEVELT AVE,"87,020.00","250,000.00",0.348,Residential,Two Family,,,,POINT (-73.13249597 41.796993018)
210283,2021,1/31/2022,Wallingford,21 TAMMY HILL RD,"404,900.00","751,000.00",0.5391,Residential,Single Family,,,,POINT (-72.75352297 41.476139003)
210364,2021,1/31/2022,Torrington,99 SPRING ST,"79,130.00","165,000.00",0.4795,Residential,Single Family,,,,POINT (-73.137623013 41.807659996)
210623,2021,1/31/2022,Norwalk,PINE POINT RD UNIT 30,"46,900.00","135,000.00",0.3474,Residential,Condo,,6-1A-1-30; BOAT LOCKER,,POINT (-73.439154257 41.059647425)
210208,2021,1/31/2022,Newington,736 CYPRESS RD,"95,130.00","185,000.00",0.5142,Residential,Condo,,,,POINT (-72.708421039 41.676973007)
210318,2021,1/31/2022,Norwich,303 MOHEGAN PARK RD #94,"10,400.00","10,500.00",0.9904,Residential,Single Family,04 - Correcting Deed,,,POINT (-72.065428043 41.553099103)
21180,2021,1/31/2022,Southbury,601 KETTLETOWN RD,"208,330.00","425,000.00",0.4901,Residential,Single Family,,,,POINT (-73.198430032 41.461768021)
210036,2021,1/31/2022,Sharon,68A HERB RD,580,"300,000.00",0.0019,Vacant Land,,28 - Use Assessment,PA490 FOREST,,POINT (-73.429145629 41.793612521)
21141,2021,1/31/2022,Plainville,24 BRADLEY ST,"159,250.00","265,000.00",0.6009,Residential,Single Family,,,,POINT (-72.880266985 41.679008008)
21041,2021,1/31/2022,North Stonington,6 POND DR,"112,770.00","262,000.00",0.4304,Residential,Single Family,,,,POINT (-71.879048986 41.421436985)
2100853,2021,1/31/2022,Stamford,154 OAKLAWN AVENUE,"386,170.00","550,000.00",0.7021,Residential,Single Family,,,,POINT (-73.539347012 41.079378012)
210315,2021,1/31/2022,Norwich,11 KILMER AVE,"86,800.00","235,000.00",0.3693,Residential,Single Family,,,,POINT (-72.088677032 41.519911984)
2100070,2021,1/31/2022,Prospect,102 CLARK HILL RD,"104,030.00","208,000.00",0.5001,Residential,Single Family,,,,POINT (-73.013962029 41.507371986)
210179,2021,1/31/2022,Stonington,103 FAIR ACRES CIR,"30,400.00","65,000.00",0.4676,Residential,Single Family,,,,POINT (-71.960264012 41.378968983)
2100250,2021,1/31/2022,New Milford,61 DANBURY RD,"715,470.00","1,533,150.00",0.4666,Commercial,,25 - Other,SALES RATIO,,POINT (-73.413987017 41.565470016)
21137,2021,1/31/2022,Plainfield,16-20 LAKE ST,"82,610.00","260,000.00",0.3177,Residential,Three Family,,,,POINT (-71.873343006 41.719903984)
210835,2021,1/31/2022,Waterbury,52 SHARON RD #3,"25,550.00","96,000.00",0.266145833,Residential,Condo,07 - Change in Property,,REMODELED UNIT PER MLS,POINT (-72.999075015 41.56946898)
2100856,2021,1/31/2022,Stamford,57 HARBOR DRIVE GAR # 302B,"19,110.00","445,000.00",0.0429,Residential,Condo,25 - Other,MULTIPLE PARCEL SALE,,POINT (-73.529379682 41.039351823)
210447,2021,1/31/2022,New Haven,675 TOWNSEND AV UNIT 102,"128,625.00","240,800.00",0.5341,Residential,Condo,,,,POINT (-72.890519981 41.276559979)
213370,2021,1/31/2022,North Haven,20 DRAZEN DR,"211,490.00","370,000.00",0.571594595,Residential,Single Family,07 - Change in Property,PROPERTY IMPROVED,,POINT (-72.834157968 41.382224011)
21091,2021,1/31/2022,Oxford,544 CADDIE COURT,"265,200.00","520,000.00",0.51,Residential,Condo,,,,POINT (-73.109795406 41.469165842)
21172,2021,1/31/2022,Ridgefield,85 SCODON DR,"328,350.00","610,000.00",0.5382,Residential,Single Family,07 - Change in Property,,,POINT (-73.515782968 41.354881991)
210842,2021,1/31/2022,Waterbury,725 WATERVILLE ST,"120,370.00","275,000.00",0.4377,Residential,Two Family,,,,POINT (-73.048896963 41.578393989)
2100852,2021,1/31/2022,Stamford,90 WESTOVER AVENUE,"495,170.00","890,000.00",0.5563,Residential,Single Family,,,,POINT (-73.575656998 41.070137006)
21134,2021,1/31/2022,Plainfield,25 ROODE RD,"266,650.00","950,000.00",0.2806,Industrial,,,,,POINT (-71.949970029 41.635752987)
21078,2021,1/31/2022,Thompson,27 OLD TURNPIKE,"108,200.00","270,000.00",0.4007,Residential,Single Family,,,,POINT (-71.86424 41.95972)
21171,2021,1/31/2022,Ridgefield,16 PELHAM LA,"479,040.00","1,048,000.00",0.457,Residential,Single Family,07 - Change in Property,,,POINT (-73.460417983 41.257302012)
210836,2021,1/31/2022,Waterbury,24 TAFT POINT #47,"61,590.00","161,000.00",0.3825,Residential,Condo,,,,POINT (-73.06652201 41.525452003)
210170,2021,1/31/2022,Simsbury,21 WHITE OAK LANE,"106,760.00","529,000.00",0.2018,Residential,Single Family,07 - Change in Property,,,POINT (-72.810806264 41.881184128)
210096,2021,1/31/2022,Tolland,54 WOODSIDE DR,"195,200.00","340,000.00",0.5741,Residential,Single Family,,,,POINT (-72.411554983 41.855517981)
21142,2021,1/31/2022,Plainville,70 PERSHING DR,"115,500.00","172,000.00",0.6715,Residential,Single Family,,,,POINT (-72.861982031 41.661631987)
210316,2021,1/31/2022,Norwich,194 SCOTLAND RD,"209,400.00","379,900.00",0.5511,Residential,Single Family,,,,POINT (-72.087518216 41.562639256)
210624,2021,1/31/2022,Norwalk,10 MAPLEWOOD TER,"223,400.00","423,999.00",0.5268,Residential,Single Family,,5-21-84-0,,POINT (-73.422373027 41.131861006)
21019,2021,1/31/2022,Voluntown,111 WYLIE SCHOOL RD,"141,120.00","305,000.00",0.4626,Residential,Single Family,,,,POINT (-71.822584966 41.58770599)
21179,2021,1/31/2022,Southbury,531 B HERITAGE VILLAGE,"52,590.00","167,000.00",0.3149,Residential,Condo,,,,POINT (-73.225712822 41.500137503)
2100435,2021,1/31/2022,Stratford,23 CALIFORNIA STREET,"153,740.00","300,000.00",0.5124,Residential,Single Family,,,,POINT (-73.137165025 41.192185018)
210362,2021,1/31/2022,Torrington,33 FRANKLIN ST,"106,170.00","125,000.00",0.8493,Commercial,,,,,POINT (-73.119927977 41.800646983)
21038,2021,1/31/2022,Salisbury,175 MAIN STREET,"583,100.00","1,025,000.00",0.5688,Residential,Single Family,,,,POINT (-73.430929023 41.974095005)
2100071,2021,1/31/2022,Prospect,226 STRAITSVILLE RD,"170,860.00","360,000.00",0.4746,Residential,Single Family,,,,POINT (-72.998851972 41.47568198)
210839,2021,1/31/2022,Waterbury,40 WARREN ST,"60,610.00","95,000.00",0.638,Residential,Single Family,25 - Other,PRIVATE SALE,,POINT (-73.032145981 41.537660999)
210625,2021,1/31/2022,Norwalk,"46 PROSPECT AVE., UNIT 46-1D &","128,020.00","195,000.00",0.6565,Residential,Condo,,1-18-13-46/1D & 1-18-13-46G-10 (CARPORT UNIT),,POINT (-73.423051039 41.112942002)
210282,2021,1/31/2022,Wallingford,16-2 ST ANDREWS CIR,"176,100.00","285,000.00",0.6178,Residential,Condo,,,,POINT (-72.819000973 41.422562004)
210130,2021,1/31/2022,Seymour,30 BROOKFIELD RD,"292,110.00","529,900.00",0.5512,Residential,Single Family,,,,POINT (-73.102570983 41.370523)
210317,2021,1/31/2022,Norwich,107 NORTH ST,"77,300.00","130,000.00",0.5946,Residential,Single Family,,,,POINT (-72.065338042 41.536335988)
2100249,2021,1/31/2022,New Milford,1 CEDAR HILL RD,"129,320.00","237,000.00",0.5456,Residential,Single Family,10 - A Will,WILL,,POINT (-73.474182996 41.632806999)
210361,2021,1/31/2022,Torrington,63 BENHAM ST,"77,960.00","150,000.00",0.5197,Residential,Two Family,,,,POINT (-73.120667009 41.814706997)
2100855,2021,1/31/2022,Stamford,668 GLENBROOK ROAD # 17,"293,880.00","540,000.00",0.5442,Residential,Condo,,,,POINT (-73.516776978 41.075395016)
21090,2021,1/31/2022,Oxford,21 TOWNER LANE,"173,100.00","204,600.00",0.846,Residential,Single Family,,,,POINT (-73.147507959 41.457330012)
210113,2021,1/31/2022,Suffield,958 BRIDGE ST,"173,600.00","360,000.00",0.4822,Residential,Single Family,,"OVER ASK PRICE OF $349,900",,POINT (-72.615567992 41.976681995)
21138,2021,1/31/2022,Plainfield,30 JOLLEY RD,"95,540.00","230,000.00",0.4153,Residential,Single Family,,,,POINT (-71.902980996 41.759376001)
210446,2021,1/31/2022,New Haven,376 QUINNIPIAC AV,"293,755.00","265,000.00",1.1085,Commercial,,,,,POINT (-72.890528027 41.300798013)
210832,2021,1/31/2022,Waterbury,187 CELIA DR,"66,870.00","154,500.00",0.4328,Residential,Single Family,,,,POINT (-72.982697027 41.555640014)
2100860,2021,1/31/2022,Stamford,133 MC INTOSH ROAD,"457,470.00","752,000.00",0.6083,Residential,Single Family,,,,POINT (-73.566153009 41.165927994)
210029,2021,1/31/2022,North Canaan,84 ORCHARD ST,"111,610.00","315,000.00",0.3543,Residential,Single Family,,,,POINT (-73.324199986 42.029587017)
210048,2021,1/31/2022,Woodbridge,12 JENICK LN,"252,700.00","380,000.00",0.665,Residential,Single Family,,,,POINT (-73.010310034 41.345071979)
210129,2021,1/31/2022,Wolcott,302 CENTRAL AVE,"221,670.00","278,000.00",0.7973,Residential,Single Family,25 - Other,"non MLS sale; no market time or sales or financing concession data available, ESTATE SALE",,POINT (-72.954259996 41.562975017)
21099,2021,1/31/2022,Wilton,37 MARVIN RIDGE,"553,350.00","850,000.00",0.651,Residential,Single Family,,,,POINT (-73.465510995 41.189369998)
210321,2021,1/31/2022,West Haven,375 CAPT THOMAS BLVD #14,"130,830.00","230,000.00",0.5688,Residential,Single Family,,,,POINT (-72.951970982 41.258971017)
210119,2021,1/31/2022,Windham,210 QUARRY ST,"112,900.00","240,000.00",0.4704,Residential,Single Family,,,,POINT (-72.232100029 41.724088984)
21092,2021,1/31/2022,Winchester,453 N MAIN STREET,"85,400.00","140,000.00",0.61,Residential,Single Family,,,,POINT (-73.056238002 41.937337006)
210130,2021,1/31/2022,Wolcott,15 GRILLEY RD,"885,820.00","800,000.00",1.1072,Commercial,,25 - Other,NO MARKET TIME,,POINT (-73.004962966 41.592644021)
2100194,2021,1/31/2022,Wethersfield,18 LONGVUE DR,"176,590.00","324,900.00",0.5435,Residential,Single Family,,,,POINT (-72.666109024 41.704129997)
21171,2021,1/31/2022,Waterford,181 ROPE FERRY ROAD,"160,900.00","285,000.00",0.5645,Residential,Single Family,,TWO SINGLE FAMILY HOMES,,POINT (-72.155484991 41.333420003)
21200,2021,1/28/2022,Farmington,7 CYPRESS TRAIL,"140,950.00","260,000.00",0.5421,Residential,Condo,,,,POINT (-72.875744027 41.731196)
210219,2021,1/28/2022,Glastonbury,592 HEBRON AVE,"730,700.00","1,565,786.00",0.4666,Commercial,,,,,POINT (-72.592394041 41.714085979)
2100127,2021,1/28/2022,Madison,31 NORTONTOWN RD,"210,200.00","250,000.00",0.8408,Residential,Single Family,07 - Change in Property,IMPROVED AFTER 10/1/2021,,POINT (-72.629284976 41.290079989)
210363,2021,1/28/2022,Fairfield,635 STILLSON ROAD,"365,540.00","649,000.00",0.5632,Residential,Single Family,07 - Change in Property,BUILDING PERMITS,,POINT (-73.253911023 41.177871996)
210358,2021,1/28/2022,Fairfield,249 YORK ROAD,"335,020.00","514,500.00",0.6511,Residential,Single Family,,,,POINT (-73.236895005 41.174587003)
210486,2021,1/28/2022,Bristol,"35 RUTH ST., UNIT #21","54,460.00","99,900.00",0.5451,Residential,Condo,,,,POINT (-72.906722032 41.698976006)
210849,2021,1/28/2022,Bridgeport,169 VIRGINIA AVE UNIT #286,"50,820.00","88,000.00",0.5775,Residential,Condo,25 - Other,ESTATE SALE,,POINT (-73.173686989 41.210469008)
210091,2021,1/28/2022,Coventry,54 CORNWALL DR,"144,100.00","295,000.00",0.4884,Residential,Single Family,,,,POINT (-72.355065985 41.797317021)
210416,2021,1/28/2022,Hamden,382 DENSLOW HILL RD,"159,810.00","280,000.00",0.5707,Residential,Single Family,,,,POINT (-72.932623035 41.375564002)
210491,2021,1/28/2022,Bristol,112 BARLOW STREET,"109,970.00","63,810.36",1.7233,Residential,Single Family,01 - Family,FAMILY SALE,,POINT (-72.977971981 41.674969984)
210478,2021,1/28/2022,New Britain,5 BLISS RD,"112,280.00","197,500.00",0.5685,Residential,Single Family,,,,POINT (-72.792428999 41.703975979)
210149,2021,1/28/2022,Bloomfield,541 PARK AVE,"94,330.00","145,000.00",0.6505,Residential,Single Family,,,,POINT (-72.721364038 41.823977005)
210137,2021,1/28/2022,Cromwell,186 SHUNPIKE ROAD,"361,760.00","809,100.00",0.4471,Vacant Land,,25 - Other,MULTI PROP,,POINT (-72.675659665 41.624510428)
21177,2021,1/28/2022,Guilford,25 BETA AVE,"133,400.00","195,000.00",0.684102564,Residential,Single Family,14 - Foreclosure,,SALE OF A FORECLOSED PROPERTY,POINT (-72.725797981 41.338554002)
210856,2021,1/28/2022,Bridgeport,1210 MADISON AVE,"433,170.00","982,200.00",0.441,Commercial,,,,,POINT (-73.207408978 41.197198988)
21178,2021,1/28/2022,Guilford,34 NORTHVIEW DR,"200,260.00","569,000.00",0.3519,Residential,Single Family,07 - Change in Property,,,POINT (-72.682879033 41.429178008)
21145,2021,1/28/2022,Monroe,505 MAIN ST,"813,000.00","740,000.00",1.0986,Commercial,,,,,POINT (-73.267622978 41.326827007)
210017,2021,1/28/2022,Bridgewater,8 HANK BECKER LANE,"313,800.00","550,000.00",0.5705,Residential,Single Family,,,,POINT (-73.370247983 41.548867981)
210852,2021,1/28/2022,Bridgeport,80 OAKVIEW CIRCLE UNIT #203,"43,340.00","105,000.00",0.4127,Residential,Condo,,,,POINT (-73.201911958 41.186074988)
210846,2021,1/28/2022,Bridgeport,27 KING ST #29,"165,520.00","230,000.00",0.7196,Residential,Three Family,,,,POINT (-73.225212607 41.159499346)
210362,2021,1/28/2022,Fairfield,150 SOUTHPORT WOODS DRIVE,"208,040.00","300,000.00",0.6934,Residential,Condo,,,,POINT (-73.289348033 41.141786017)
210116,2021,1/28/2022,Clinton,7 VAN DYKE LN,"159,800.00","395,000.00",0.4045,Residential,Single Family,,,,POINT (-72.572524991 41.29971901)
210090,2021,1/28/2022,Coventry,36 MARYANNE DR,"129,300.00","292,500.00",0.442,Residential,Single Family,,,,POINT (-72.382832967 41.805023007)
210148,2021,1/28/2022,Bloomfield,11 CAMELOT DRIVE,"48,790.00","110,000.00",0.4435,Residential,Condo,,,,POINT (-72.703859585 41.829962036)
210487,2021,1/28/2022,Bristol,73A RITA DRIVE,"94,010.00","167,900.00",0.5599,Residential,Condo,,,,POINT (-72.898319006 41.658977019)
210716,2021,1/28/2022,Middletown,2 FOREST GLEN CIRCLE #17,"71,160.00","145,000.00",0.4907,Residential,Condo,,,,POINT (-72.70493003 41.591268112)
210073,2021,1/28/2022,Essex,65 MAIN ST IVTN 16,"125,400.00","340,500.00",0.3682,Residential,Condo,,,,POINT (-72.43466498 41.349055018)
210850,2021,1/28/2022,Bridgeport,257 EXETER ST,"245,860.00","464,900.00",0.5288,Residential,Single Family,,,,POINT (-73.203614994 41.211267007)
210855,2021,1/28/2022,Bridgeport,123 EXETER ST,"191,085.00","490,000.00",0.3899,Residential,Single Family,,,,POINT (-73.200847038 41.210577009)
210415,2021,1/28/2022,Hamden,900 MIX AVE U54,"70,560.00","90,000.00",0.784,Residential,Condo,,,,POINT (-72.920102986 41.378261005)
210100,2021,1/28/2022,Derby,73 ORANGEWOOD WEST,"122,990.00","248,000.00",0.4959,Residential,Condo,,,,POINT (-73.049978282 41.311989108)
210860,2021,1/28/2022,Bridgeport,107 SUNSHINE CIRCLE,"97,141.00","166,000.00",0.5851,Residential,Single Family,,,,POINT (-73.195040977 41.221666979)
210136,2021,1/28/2022,Cromwell,108 COURT STREET,"52,750.00","809,100.00",0.0651,Vacant Land,,25 - Other,MULTI PROP,,POINT (-72.674771745 41.623877044)
210360,2021,1/28/2022,Fairfield,2515 BLACK ROCK TURNPIKE,"1,082,550.00","2,319,750.00",0.4666,Commercial,,,,,POINT (-73.256845024 41.185045983)
210490,2021,1/28/2022,Bristol,735 REDSTONE HILL RD,"156,170.00","270,000.00",0.5784,Residential,Single Family,,,,POINT (-72.888315037 41.657881002)
210153,2021,1/28/2022,New Canaan,304 MAIN ST,"707,700.00","900,000.00",0.7863,Residential,Single Family,,,,POINT (-73.486268024 41.14285098)
210135,2021,1/28/2022,Cromwell,5 DEBRA COURT,"112,560.00","175,000.00",0.6432,Residential,Condo,,,,POINT (-72.682337981 41.607270987)
210847,2021,1/28/2022,Bridgeport,324 PEARL HARBOR #326,"143,340.00","225,000.00",0.637,Residential,Two Family,,,,POINT (-73.160871981 41.20054999)
2121119,2021,1/28/2022,Ansonia,14 BYRON AVE,"123,500.00","200,000.00",0.6175,Residential,Single Family,,,,POINT (-73.085428985 41.362027019)
210853,2021,1/28/2022,Bridgeport,615 COLORADO AVE,"222,350.00","350,000.00",0.6352,Residential,Three Family,,,,POINT (-73.21304497 41.175428001)
210127,2021,1/28/2022,Berlin,405 WEST LN,"99,800.00","105,000.00",0.9504,Vacant Land,,,,,POINT (-72.801413754 41.628593581)
21179,2021,1/28/2022,Guilford,199 COUNTY RD,"198,020.00","440,000.00",0.45,Residential,Single Family,,,,POINT (-72.733977964 41.353014)
210851,2021,1/28/2022,Bridgeport,324 TRUMAN ST,"155,360.00","230,000.00",0.6754,Residential,Single Family,14 - Foreclosure,,,POINT (-73.215689963 41.196957003)
